workload,stage,samples,median_ns,min_ns,max_ns,output_sha256
hyper,authorNs,9,32125,31417,36750,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,compileNs,9,212833,209792,227541,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,encodeNs,9,60708,59667,68542,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,whole-cli,9,2507209,2416667,2826459,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,source_copy,9,1583,1542,1667,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,source_check,9,25792,24917,36834,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,lowering,9,29083,28083,32417,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,target_check,9,105083,102584,110418,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,direct_optimization,9,7500,7166,11042,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
hyper,canonicalization,9,37250,35792,44625,aad235e4e903cdbf158bf2ca600b8f05f0b34a7b619d35da2b835a2165812652
direct,authorNs,9,21625,19791,23542,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,compileNs,9,86500,81959,93250,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,encodeNs,9,23667,22250,32583,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,whole-cli,9,2326708,2204334,2688584,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,source_copy,9,1666,1500,6208,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,source_check,9,8834,8583,9584,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,lowering,9,14791,12958,19334,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,target_check,9,44667,43417,48458,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,direct_optimization,9,2666,2417,3167,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
direct,canonicalization,9,11917,11375,15291,19f24bbf62bd6dce3c76a56864fd02a8787f2229de0f120819ad2b039bc5ea11
materialized,authorNs,9,24875,23083,27875,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,compileNs,9,106500,102333,122958,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,encodeNs,9,30666,29875,36917,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,whole-cli,9,2332000,2187875,2990375,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,source_copy,9,1625,1542,2000,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,source_check,9,13209,12083,19167,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,lowering,9,15792,14125,20458,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,target_check,9,58833,57749,67292,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,direct_optimization,9,4500,3958,7625,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
materialized,canonicalization,9,11875,11500,13583,c158a7a6edace7cd34e155a1fdb199ecf827cbc242baa316f0565d344c41081c
component/producer,whole-cli,9,2401125,2358541,2760333,6f3c24036ccbb6aab87a57b7e260d7c4b0d400a510b03bbda153e6043ad84f76
component/consumer,whole-cli,9,2253375,2199000,2710958,d9061ea54182d4c17779e91cc80324cc4ce86c29f71ca8182ea62cb4740bbb87
component/consumer-invert,whole-cli,9,2247958,2173583,2748125,ba26b36b687b66b4160355757ec296001ea36921686e462bad5a32d5ebf50c03
component/support,whole-cli,9,2235167,2145625,2816417,d7eb01e46b6cafba71cfbdd1b4b97dbb3e632c659bbaba31ad0ed5feb94dc27b
component/entry,whole-cli,9,2202208,2100459,2536250,b463dadcec589ad263e1a89e0a781109c514d0473a614bbd34a2ab1cad29f55c
link/normal,whole-cli,9,3872833,3758000,4317833,8cfcb13a0e8bf8e551acb916e02d628ad006d9a8b0d2c5415500b7931e7de277
link/invert,whole-cli,9,3809583,3751875,3904125,c22732e4ce72235b41d91aa1f38a3c7cb2049b937c0de2021193e72416330c4e
combined-emitter,fresh-zig-caches-build,3,16514955042,16463314166,16524274500,
