suite,workload,count,mode,baseline_median_ns,baseline_min_ns,baseline_max_ns,current_median_ns,current_min_ns,current_max_ns,ratio,image_or_input_sha256
native,tail/hyper,0,initial,29958,29958,30417,29500,29250,31125,0.984712,234e1ce288a576910e5d0cf56d64ac59586c9d58958d605b94ffddf735b91ec1
native,tail/hyper,0,restore,37583,37375,37792,38000,37041,39333,1.011095,813d4b0813dd7f416c97bdde8e6c13cf9dd01f9824c84570765d4a8327bec7f9
native,tail/hyper,31,initial,395458,394917,396000,303917,302292,305000,0.768519,84f287e20b741051d65b152e1169df680c7ca75f0440335709abf8a0b9ccfb56
native,tail/hyper,31,restore,411333,410458,444375,311792,310584,330000,0.758004,e0e92ccecb636e9c7c23065edd2ee144fadea29ddde58f1fcbe2d1434f528926
native,tail/hyper,127,initial,1747750,1741750,1824167,1198791,1164625,1215208,0.685905,11a4f2e90b7df03994d5b8d598e4359590f16439e5ab248e17fdd15819b03549
native,tail/hyper,127,restore,1759666,1750375,1860250,1152542,1147166,1196542,0.654978,56a95f3939ee7c0f7e76f0d82d29d77b25fb5f6ea1aa06253930f7674e0bfebe
native,tail/hyper,512,initial,9970208,9956625,9996125,4542416,4542167,4544709,0.455599,bdfe0f7aa9dfb8ff8b8595096592e481ad43d76b55670a0245262e41fca0cf31
native,tail/hyper,512,restore,9974041,9939875,10023875,4490416,4482167,4540250,0.450210,a82f2e399e8b9958578fb31148e9f33ed083402addc285d8279466628e6ab593
native,tail/direct,0,initial,4667,4625,4667,4667,4667,4667,1.000000,5798d2d48077457dccb32ede3b536da12e25ec2c91411aa728258b7bc410459b
native,tail/direct,0,restore,6292,6166,6333,6333,6333,6333,1.006516,7b58b99070334de30016fdf76df4966681f04f545522b6715ce831876f7a9b87
native,tail/direct,31,initial,20708,20542,20875,20500,20458,21750,0.989956,3c87d3f1c54d74e76b9120f04495a944d6bd9162994bd8efe0414f9dcc26c578
native,tail/direct,31,restore,22125,21959,22167,22208,21792,22291,1.003751,e54c27ded5654864d4c9064417fc838d00d6c7b50c255b08a07333ee18de3d4f
native,tail/direct,127,initial,70209,70125,70416,70583,70166,70625,1.005327,e30c0c2926d97a7e298f96f02f2fa637aeb1c8e36749a8c711f5cc5d48cf0980
native,tail/direct,127,restore,71750,71041,72459,71750,71583,72250,1.000000,3da099ff1bd3ac1475b85f17880ce085281589c9ece04a4e2bf27ce703dace4a
native,tail/direct,512,initial,270083,269875,270542,270250,269500,293125,1.000618,1483961d017559752166ffaccd24a14b60c68879efc4c2fbc8c0b13381b8a912
native,tail/direct,512,restore,269333,269000,273042,279500,270042,303333,1.037749,9230bb76c09bef7a499add5bef5a300d1c9074f8e82b7d353d0d4396d68bdb1b
native,fold/hyper,0,initial,46625,45875,48084,45416,45209,47292,0.974070,6de5000684f708dc2d0c2d1ca8f9bd304299c5bb8f188bb015baf2919aba9dd6
native,fold/hyper,0,restore,56209,55541,56334,55041,54875,59583,0.979220,916c891707b2cb00badff6f9089f7df93c88ef0c6ae81b8c6a12dca834b4bc89
native,fold/hyper,31,initial,945750,936625,992958,864333,863083,900541,0.913913,f73bd413ebcd03a9bd72c0f5aec104a84b9938647d190f8ebf006f68f4b19fa8
